Datum_Zeit;Prec [mm/d];Tmax [degC];Tmin [degC];rH mean [%];wind [m/s];sunshine [h/h]
04.09.2011 13:00;0.0;23.2;22.2;83.4;6.7;0.3
04.09.2011 14:00;0.0;23.5;23.0;80.9;8.2;0.8
04.09.2011 15:00;0.0;23.8;22.7;80.3;8.2;0.6
04.09.2011 16:00;0.0;23.1;22.5;80.1;6.0;0.2
04.09.2011 17:00;100.8;22.4;18.1;87.2;4.6;0.0
04.09.2011 18:00;254.4;17.9;17.4;94.6;2.3;0.0
04.09.2011 19:00;19.2;17.4;17.2;95.6;1.3;0.0
04.09.2011 20:00;33.6;17.3;17.1;95.8;0.4;0.0
04.09.2011 21:00;4.8;17.2;17.1;96.3;0.1;0.0
04.09.2011 22:00;14.4;17.4;17.2;97.0;0.0;0.0
04.09.2011 23:00;0.0;17.7;17.4;97.0;0.0;0.0
05.09.2011 00:00;0.0;17.7;17.4;97.0;0.0;0.0
05.09.2011 01:00;0.0;17.6;17.2;97.0;0.0;0.0
05.09.2011 02:00;0.0;17.2;16.5;97.0;0.0;0.0
05.09.2011 03:00;0.0;16.5;16.1;97.0;0.1;0.0
05.09.2011 04:00;0.0;15.9;15.6;97.2;0.0;0.0
05.09.2011 05:00;4.8;15.7;15.0;97.2;0.0;0.0
05.09.2011 06:00;0.0;15.2;15.0;97.9;0.0;0.0
05.09.2011 07:00;0.0;15.1;14.9;97.9;0.9;0.0
05.09.2011 08:00;0.0;14.7;12.9;96.6;2.3;0.0
05.09.2011 09:00;0.0;12.9;12.2;91.5;2.4;0.2
05.09.2011 10:00;0.0;13.2;13.2;90.0;3.2;1.0
